,Player,Year,PTS,AST,MVP Votes
11782,Will Magnay,2021,0.0,0.0,0.0
11783,Willy Hernangómez,2021,7.8,1.1,0.0
11784,Zion Williamson,2021,27.0,3.7,0.0
11785,Brandon Jennings,2013,17.5,6.5,0.0
11786,Drew Gooden,2013,3.3,0.4,0.0
11787,Ekpe Udoh,2013,4.3,0.6,0.0
11788,Ersan İlyasova,2013,13.2,1.6,0.0
11789,Gustavo Ayón,2013,3.7,1.3,0.0
11790,Ish Smith,2013,2.4,1.7,0.0
11767,Brandon Ingram,2021,23.8,4.9,0.0
11765,Zion Williamson,2020,22.5,2.1,0.0
11792,Joel Przybilla,2013,0.2,0.3,0.0
11764,Sindarius Thornwell,2020,8.0,2.0,0.0
11741,Larry Nance Jr.,2017,7.1,1.5,0.0
11742,Luol Deng,2017,7.6,1.3,0.0
11743,Marcelo Huertas,2017,2.7,2.3,0.0
11744,Metta World Peace,2017,2.3,0.4,0.0
11745,Nick Young,2017,13.2,1.0,0.0
11746,Tarik Black,2017,5.7,0.6,0.0
11747,Thomas Robinson,2017,5.0,0.6,0.0
11748,Timofey Mozgov,2017,7.4,0.8,0.0
11749,Tyler Ennis,2017,4.3,1.6,0.0
11750,Brandon Ingram,2020,23.8,4.2,0.0
11751,Derrick Favors,2020,9.0,1.6,0.0
11752,E'Twaun Moore,2020,8.3,1.4,0.0
11753,Frank Jackson,2020,6.3,1.0,0.0
11754,J.J. Redick,2020,15.3,2.0,0.0
11755,Jahlil Okafor,2020,8.1,1.2,0.0
11756,Jaxson Hayes,2020,7.4,0.9,0.0
11757,Josh Gray,2020,1.0,1.0,0.0
11758,Josh Hart,2020,10.1,1.7,0.0
11759,Jrue Holiday,2020,19.1,6.7,0.0
11760,Kenrich Williams,2020,3.5,1.5,0.0
11761,Lonzo Ball,2020,11.8,7.0,0.0
11762,Nickeil Alexander-Walker,2020,5.7,1.9,0.0
11763,Nicolò Melli,2020,6.6,1.4,0.0
11791,J.J. Redick,2013,14.1,3.8,0.0
11793,John Henson,2013,6.0,0.5,0.0
11739,Jordan Clarkson,2017,14.7,2.6,0.0
11821,D.J. Stephens,2014,2.3,0.0,0.0
11823,Ersan İlyasova,2014,11.2,1.3,0.0
11824,Giannis Antetokounmpo,2014,6.8,1.9,0.0
11825,Jeff Adrien,2014,6.8,0.7,0.0
11826,John Henson,2014,11.1,1.6,0.0
11827,Khris Middleton,2014,12.1,2.1,0.0
11828,Larry Sanders,2014,7.7,0.8,0.0
11829,Miroslav Raduljica,2014,3.8,0.5,0.0
11830,Nate Wolters,2014,7.2,3.2,0.0
11831,O.J. Mayo,2014,11.7,2.2,0.0
11832,Ramon Sessions,2014,12.3,4.1,0.0
11833,Zaza Pachulia,2014,7.7,2.6,0.0
11834,Brandon Paul,2018,2.3,0.6,0.0
11835,Bryn Forbes,2018,6.9,1.0,0.0
11836,Danny Green,2018,8.6,1.6,0.0
11837,Darrun Hilliard,2018,1.1,0.8,0.0
11838,Dejounte Murray,2018,8.1,2.9,0.0
11839,Derrick White,2018,3.2,0.5,0.0
11840,Dāvis Bertāns,2018,5.9,1.0,0.0
11841,Joffrey Lauvergne,2018,4.1,0.7,0.0
11842,Kawhi Leonard,2018,16.2,2.3,0.0
11843,Kyle Anderson,2018,7.9,2.7,0.0
11845,Manu Ginóbili,2018,8.9,2.5,0.0
11846,Matt Costello,2018,1.0,0.5,0.0
11822,Ekpe Udoh,2014,3.4,0.7,0.0
11820,Chris Wright,2014,6.0,0.6,0.0
11794,Larry Sanders,2013,9.8,1.2,0.0
11819,Brandon Knight,2014,17.9,4.9,0.0
11795,Luc Mbah a Moute,2013,6.7,0.9,0.0
11796,Marquis Daniels,2013,5.5,1.1,0.0
11797,Mike Dunleavy,2013,10.5,1.9,0.0
11798,Monta Ellis,2013,19.2,6.0,0.0
11799,Samuel Dalembert,2013,6.7,0.4,0.0
11800,Brandon Jennings,2018,5.2,3.1,0.0
11801,D.J. Wilson,2018,1.0,0.1,0.0
11802,Eric Bledsoe,2018,17.7,5.0,0.0
11804,Jabari Parker,2018,12.6,1.9,0.0
11805,Jason Terry,2018,3.3,1.2,0.0
11806,Joel Bolomboy,2018,1.5,0.0,0.0
11807,John Henson,2018,8.8,1.5,0.0
11808,Khris Middleton,2018,20.1,4.0,0.0
11809,Malcolm Brogdon,2018,13.0,3.2,0.0
11810,Marshall Plumlee,2018,1.8,0.3,0.0
11811,Matthew Dellavedova,2018,4.3,3.8,0.0
11812,Mirza Teletović,2018,7.1,1.0,0.0
11813,Shabazz Muhammad,2018,5.0,0.3,0.0
11814,Sterling Brown,2018,4.0,0.5,0.0
11815,Thon Maker,2018,4.8,0.6,0.0
11816,Tony Snell,2018,6.9,1.3,0.0
11817,Tyler Zeller,2018,6.7,0.7,0.0
11818,Xavier Munford,2018,0.5,0.7,0.0
11740,Julius Randle,2017,13.2,3.6,0.0
11738,Ivica Zubac,2017,7.5,0.8,0.0
11629,Ian Mahinmi,2018,4.8,0.7,0.0
11656,Brandon Bass,2011,11.2,0.8,0.0
11659,Earl Clark,2011,3.9,0.2,0.0
11660,Gilbert Arenas,2011,10.8,3.9,0.0
11661,Hedo Türkoğlu,2011,10.8,4.2,0.0
11662,J.J. Redick,2011,10.1,1.7,0.0
11663,Jameer Nelson,2011,13.1,6.0,0.0
11664,Jason Richardson,2011,15.6,1.8,0.0
11665,Malik Allen,2011,1.3,0.2,0.0
11666,Quentin Richardson,2011,4.4,0.7,0.0
11667,Ryan Anderson,2011,10.6,0.8,0.0
11668,Brandon Clarke,2021,10.3,1.6,0.0
11669,De'Anthony Melton,2021,9.1,2.5,0.0
11670,Desmond Bane,2021,9.2,1.7,0.0
11671,Dillon Brooks,2021,17.2,2.3,0.0
11672,Grayson Allen,2021,10.6,2.2,0.0
11673,Ja Morant,2021,19.1,7.4,0.0
11674,Jaren Jackson Jr.,2021,14.4,1.1,0.0
11675,John Konchar,2021,4.3,1.1,0.0
11676,Jonas Valančiūnas,2021,17.1,1.8,0.0
11677,Jontay Porter,2021,2.0,0.1,0.0
11678,Justise Winslow,2021,6.8,1.9,0.0
11679,Killian Tillie,2021,3.2,0.4,0.0
11680,Kyle Anderson,2021,12.4,3.6,0.0
11681,Sean McDermott,2021,2.2,0.2,0.0
11657,Chris Duhon,2011,2.5,2.3,0.0
11655,Yi Jianlian,2012,2.6,0.2,0.0
11683,Tyus Jones,2021,6.3,3.7,0.0
11654,Vince Carter,2012,10.1,2.3,0.0
11630,Jason Smith,2018,3.4,0.4,0.0
11631,Jodie Meeks,2018,6.3,0.9,0.0
11632,John Wall,2018,19.4,9.6,0.0
11633,Kelly Oubre Jr.,2018,11.8,1.2,0.0
11634,Marcin Gortat,2018,8.4,1.8,0.0
11635,Markieff Morris,2018,11.5,1.9,0.0
11636,Mike Scott,2018,8.8,1.1,0.0
11637,Otto Porter Jr.,2018,14.7,2.0,0.0
11638,Ramon Sessions,2018,4.9,2.8,0.0
11639,Tim Frazier,2018,3.0,3.3,0.0
11640,Tomáš Satoranský,2018,7.2,3.9,0.0
11641,Brandan Wright,2012,6.9,0.3,0.0
11642,Brendan Haywood,2012,5.2,0.4,0.0
11643,Brian Cardinal,2012,1.0,0.4,0.0
11644,Delonte West,2012,9.6,3.2,0.0
11646,Dominique Jones,2012,2.7,1.3,0.0
11647,Ian Mahinmi,2012,5.8,0.2,0.0
11648,Jason Kidd,2012,6.2,5.5,0.0
11649,Jason Terry,2012,15.1,3.6,0.0
11650,Kelenna Azubuike,2012,2.3,0.0,0.0
11651,Lamar Odom,2012,6.6,1.7,0.0
11652,Rodrigue Beaubois,2012,8.9,2.9,0.0
11653,Shawn Marion,2012,10.6,2.1,0.0
11682,Tim Frazier,2021,1.6,3.2,0.0
11684,Xavier Tillman Sr.,2021,6.6,1.3,0.0
11737,David Nwaba,2017,6.0,0.7,0.0
11712,Evan Turner,2020,3.3,2.0,0.0
11714,John Collins,2020,21.6,1.5,0.0
11715,Kevin Huerter,2020,12.2,3.8,0.0
11716,Trae Young,2020,29.6,9.3,0.0
11717,Treveon Graham,2020,4.4,0.8,0.0
11718,Tyrone Wallace,2020,2.9,0.9,0.0
11719,Vince Carter,2020,5.0,0.8,0.0
11720,Brandon Hunter,2004,3.5,0.5,0.0
11721,Chris Mihm,2004,6.3,0.3,0.0
11722,Chucky Atkins,2004,8.4,3.5,0.0
11723,Dana Barros,2004,6.0,0.0,0.0
11724,Jiří Welsch,2004,9.2,2.3,0.0
11725,Jumaine Jones,2004,2.2,0.3,0.0
11726,Kendrick Perkins,2004,2.2,0.3,0.0
11727,Marcus Banks,2004,5.9,2.2,0.0
11728,Mark Blount,2004,10.3,0.9,0.0
11729,Michael Stewart,2004,0.5,0.0,0.0
11730,Paul Pierce,2004,23.0,5.1,0.0
11731,Raef LaFrentz,2004,7.8,1.4,0.0
11732,Ricky Davis,2004,14.4,3.3,0.0
11733,Walter McCarty,2004,7.9,1.6,0.0
11734,Brandon Ingram,2017,9.4,2.1,0.0
11735,Corey Brewer,2017,4.5,1.2,0.0
11736,D'Angelo Russell,2017,15.6,4.8,0.0
11713,Jeff Teague,2020,10.9,5.2,0.0
11711,Dewayne Dedmon,2020,5.8,0.5,0.0
11685,Brandon Goodwin,2019,1.4,0.9,0.0
11710,DeAndre' Bembry,2020,5.8,1.9,0.0
11686,DeVaughn Akoon-Purcell,2019,1.0,0.9,0.0
11687,Gary Harris,2019,12.9,2.2,0.0
11688,Isaiah Thomas,2019,8.1,1.9,0.0
11689,Jamal Murray,2019,18.2,4.8,0.0
11690,Jarred Vanderbilt,2019,1.4,0.2,0.0
11691,Juancho Hernangómez,2019,5.8,0.8,0.0
11692,Malik Beasley,2019,11.3,1.2,0.0
11693,Mason Plumlee,2019,7.8,3.0,0.0
11694,Monte Morris,2019,10.4,3.6,0.0
11695,Nick Young,2019,2.3,0.5,0.0
11697,Paul Millsap,2019,12.6,2.0,0.0
11698,Thomas Welsh,2019,1.6,0.5,0.0
11699,Torrey Craig,2019,5.7,1.0,0.0
11700,Trey Lyles,2019,8.5,1.4,0.0
11701,Tyler Lydon,2019,0.9,0.2,0.0
11702,Will Barton,2019,11.5,2.9,0.0
11703,Brandon Goodwin,2020,6.1,1.5,0.0
11704,Bruno Fernando,2020,4.3,0.9,0.0
11705,Cam Reddish,2020,10.5,1.5,0.0
11706,Chandler Parsons,2020,2.8,0.6,0.0
11707,Charlie Brown Jr.,2020,2.0,0.2,0.0
11708,Damian Jones,2020,5.6,0.6,0.0
11709,De'Andre Hunter,2020,12.3,1.8,0.0
7157,Taurean Prince,2018,14.1,2.6,0.0
7046,Tim Perry,1993,9.0,1.6,0.0
7155,Miles Plumlee,2018,4.3,0.8,0.0
2391,Julyan Stone,2012,1.6,1.7,0.0
2380,Timofey Mozgov,2011,3.6,0.3,0.0
2381,Ty Lawson,2011,11.7,4.7,0.0
2382,Wilson Chandler,2011,15.3,1.7,0.0
2383,Al Harrington,2012,14.2,1.4,0.0
2384,Andre Miller,2012,9.7,6.7,0.0
2385,Arron Afflalo,2012,15.2,2.4,0.0
2386,Chris Andersen,2012,5.3,0.2,0.0
2387,Corey Brewer,2012,8.9,1.5,0.0
2388,Danilo Gallinari,2012,14.6,2.7,0.0
2389,JaVale McGee,2012,11.3,0.5,0.0
2390,Jordan Hamilton,2012,4.4,0.8,0.0
2392,Kenneth Faried,2012,10.2,0.8,0.0
2460,Jeff Teague,2012,12.6,4.9,0.0
2393,Kosta Koufos,2012,5.5,0.3,0.0
2394,Rudy Fernández,2012,8.6,2.4,0.0
2395,Timofey Mozgov,2012,5.4,0.5,0.0
2396,Ty Lawson,2012,16.4,6.6,0.0
2397,Wilson Chandler,2012,9.4,2.1,0.0
2398,Al Harrington,2013,5.1,1.0,0.0
2399,Andrew Nicholson,2013,7.8,0.6,0.0
2400,Arron Afflalo,2013,16.5,3.2,0.0
2401,Beno Udrih,2013,8.2,4.6,0.0
2402,DeQuan Jones,2013,3.7,0.3,0.0
2403,Doron Lamb,2013,3.3,0.7,0.0
2379,Raymond Felton,2011,15.5,8.3,0.0
2378,Nenê,2011,14.5,2.0,0.0
2377,Melvin Ely,2011,2.3,0.5,0.0
2376,Kosta Koufos,2011,3.2,0.1,0.0
2353,Quentin Richardson,2009,10.2,1.6,0.0
2354,Wilson Chandler,2009,14.4,2.1,0.0
2355,Al Harrington,2010,17.7,1.5,0.0
2356,Chris Duhon,2010,7.4,5.6,0.0
2357,Danilo Gallinari,2010,15.1,1.7,0.0
2358,David Lee,2010,20.2,3.6,0.0
2359,Earl Barron,2010,11.7,1.1,0.0
2360,Eddie House,2010,7.0,1.3,0.0
2361,Eddy Curry,2010,3.7,0.0,0.0
2362,Henry Walker,2010,9.4,1.1,0.0
2363,J.R. Giddens,2010,2.2,0.4,0.0
2364,Jonathan Bender,2010,4.7,0.6,0.0
2365,Sergio Rodríguez,2010,6.6,3.2,0.0
2366,Toney Douglas,2010,8.6,2.0,0.0
2367,Tracy McGrady,2010,8.2,3.3,0.0
2368,Wilson Chandler,2010,15.3,2.1,0.0
2369,Al Harrington,2011,10.5,1.4,0.0
2370,Arron Afflalo,2011,12.6,2.4,0.0
2371,Chris Andersen,2011,5.6,0.4,0.0
2372,Danilo Gallinari,2011,15.6,1.7,0.0
2373,Gary Forbes,2011,5.2,0.8,0.0
2374,J.R. Smith,2011,12.3,2.2,0.0
2375,Kenyon Martin,2011,8.6,2.3,0.0
2404,E'Twaun Moore,2013,7.8,2.7,0.0
2405,Glen Davis,2013,15.1,2.1,0.0
2406,Hedo Türkoğlu,2013,2.9,2.1,0.0
2434,Mario West,2010,0.8,0.2,0.0
2436,Maurice Evans,2010,5.7,0.6,0.0
2437,Mike Bibby,2010,9.1,3.9,0.0
2438,Othello Hunter,2010,1.6,0.0,0.0
2439,Randolph Morris,2010,2.2,0.1,0.0
2440,Zaza Pachulia,2010,4.3,0.5,0.0
2441,Al Horford,2011,15.3,3.5,0.0
2442,Damien Wilkins,2011,3.5,0.8,0.0
2443,Etan Thomas,2011,2.5,0.2,0.0
2444,Hilton Armstrong,2011,1.7,0.3,0.0
2445,Jamal Crawford,2011,14.2,3.2,0.0
2446,Jason Collins,2011,2.0,0.4,0.0
2447,Jeff Teague,2011,5.2,2.0,0.0
2448,Joe Johnson,2011,18.2,4.7,0.0
2449,Josh Powell,2011,4.1,0.4,0.0
2450,Josh Smith,2011,16.5,3.3,0.0
2451,Kirk Hinrich,2011,10.2,4.0,0.0
2452,Marvin Williams,2011,10.4,1.4,0.0
2453,Pape Sy,2011,2.3,0.7,0.0
2454,Zaza Pachulia,2011,4.4,0.7,0.0
2455,Al Horford,2012,12.4,2.2,0.0
2456,Erick Dampier,2012,0.1,0.3,0.0
2457,Ivan Johnson,2012,6.4,0.6,0.0
2458,Jannero Pargo,2012,5.6,1.9,0.0
2435,Marvin Williams,2010,10.1,1.1,0.0
2433,Josh Smith,2010,15.7,4.2,0.0
2407,Jameer Nelson,2013,14.7,7.4,0.0
2432,Joe Smith,2010,3.0,0.3,0.0
2408,Kyle O'Quinn,2013,4.1,0.9,0.0
2409,Maurice Harkless,2013,8.2,0.7,0.0
2410,Nikola Vučević,2013,13.1,1.9,0.0
2411,Tobias Harris,2013,11.0,1.3,0.0
2412,Al Harrington,2014,6.6,0.8,0.0
2413,Andre Miller,2014,4.9,3.4,0.0
2414,Bradley Beal,2014,17.1,3.3,0.0
2415,Chris Singleton,2014,3.0,0.2,0.0
2416,Drew Gooden,2014,8.3,0.7,0.0
2417,Garrett Temple,2014,1.8,1.0,0.0
2418,Glen Rice Jr.,2014,2.9,0.6,0.0
2419,John Wall,2014,19.3,8.8,0.0
2420,Kevin Séraphin,2014,4.7,0.3,0.0
2421,Marcin Gortat,2014,13.2,1.7,0.0
2422,Martell Webster,2014,9.7,1.2,0.0
2423,Nenê,2014,14.2,2.9,0.0
2424,Otto Porter Jr.,2014,2.1,0.3,0.0
2425,Trevor Ariza,2014,14.4,2.5,0.0
2426,Trevor Booker,2014,6.8,0.9,0.0
2427,Al Horford,2010,14.2,2.3,0.0
2428,Jamal Crawford,2010,18.0,3.0,0.0
2429,Jason Collins,2010,0.7,0.2,0.0
2430,Jeff Teague,2010,3.2,1.7,0.0
2352,Nate Robinson,2009,17.2,4.1,0.0
2351,Mouhamed Sene,2009,3.3,0.0,0.0
2350,Larry Hughes,2009,11.6,2.2,0.0
2269,Jeff Foster,2003,2.1,0.7,0.0
2271,Jonathan Bender,2003,6.6,0.9,0.0
2272,Metta World Peace,2003,15.5,2.9,0.0
2273,Primož Brezec,2003,1.9,0.2,0.0
2274,Reggie Miller,2003,12.6,2.4,0.0
2275,Ron Mercer,2003,7.7,1.6,0.0
2276,Tim Hardaway,2003,4.9,2.4,0.0
2277,Al Harrington,2004,13.3,1.7,0.0
2278,Anthony Johnson,2004,6.2,2.8,0.0
2279,Austin Croshere,2004,5.0,0.7,0.0
2280,Fred Jones,2004,4.9,2.1,0.0
2281,Jamaal Tinsley,2004,8.3,5.8,0.0
2282,James Jones,2004,1.2,0.0,0.0
2283,Jamison Brewer,2004,2.5,1.3,0.0
2284,Jeff Foster,2004,6.1,0.8,0.0
2286,Jonathan Bender,2004,7.0,0.4,0.0
2287,Kenny Anderson,2004,6.0,2.8,0.0
2288,Metta World Peace,2004,18.3,3.7,0.0
2289,Primož Brezec,2004,1.6,0.2,0.0
2290,Reggie Miller,2004,10.0,3.1,0.0
2291,Scot Pollard,2004,1.7,0.2,0.0
2292,Al Harrington,2005,17.5,3.2,0.0
2293,Anthony Miller,2005,2.0,0.5,0.0
2294,Boris Diaw,2005,4.8,2.3,0.0
2270,Jermaine O'Neal,2003,20.8,2.0,0.0
2268,Jamison Brewer,2003,2.2,1.8,0.0
2296,James Thomas,2005,2.4,0.4,0.0
2267,Jamaal Tinsley,2003,7.8,7.5,0.0
2244,Travis Best,2001,11.9,6.1,0.0
2245,Tyus Edney,2001,4.4,2.3,0.0
2246,Žan Tabak,2001,3.9,0.6,0.0
2247,Al Harrington,2002,13.1,1.2,0.0
2248,Austin Croshere,2002,6.8,1.0,0.0
2249,Brad Miller,2002,13.6,2.0,0.0
2250,Bruno Šundov,2002,1.5,0.1,0.0
2251,Carlos Rogers,2002,2.7,0.1,0.0
2252,Jamaal Tinsley,2002,9.4,8.1,0.0
2253,Jamison Brewer,2002,0.3,0.7,0.0
2254,Jeff Foster,2002,5.7,0.9,0.0
2255,Jermaine O'Neal,2002,19.0,1.6,0.0
2256,Jonathan Bender,2002,7.4,0.8,0.0
2257,Kevin Ollie,2002,5.7,3.6,0.0
2258,Metta World Peace,2002,13.2,2.3,0.0
2259,Primož Brezec,2002,2.0,0.3,0.0
2260,Reggie Miller,2002,16.5,3.2,0.0
2261,Ron Mercer,2002,13.9,2.4,0.0
2262,Al Harrington,2003,12.2,1.5,0.0
2263,Austin Croshere,2003,5.1,1.1,0.0
2264,Brad Miller,2003,13.1,2.6,0.0
2265,Erick Strickland,2003,6.5,2.9,0.0
2266,Fred Jones,2003,1.2,0.3,0.0
2295,Donta Smith,2005,3.3,1.0,0.0
2297,Jason Collier,2005,5.7,0.3,0.0
2349,Joe Crawford,2009,4.5,0.5,0.0
2324,Austin Croshere,2008,3.9,0.7,0.0
2326,Brandan Wright,2008,4.0,0.2,0.0
2327,C.J. Watson,2008,3.7,1.1,0.0
2328,Chris Webber,2008,3.9,2.0,0.0
2329,Kelenna Azubuike,2008,8.5,0.9,0.0
2330,Kosta Perović,2008,1.4,0.1,0.0
2331,Marco Belinelli,2008,2.9,0.5,0.0
2332,Matt Barnes,2008,6.7,1.9,0.0
2333,Mickaël Piétrus,2008,7.2,0.7,0.0
2334,Monta Ellis,2008,20.2,3.9,0.0
2335,Patrick O'Bryant,2008,1.5,0.2,0.0
2336,Stephen Jackson,2008,20.1,4.1,0.0
2337,Troy Hudson,2008,3.1,1.0,0.0
2338,Al Harrington,2009,20.1,1.4,0.0
2339,Cheikh Samb,2009,0.8,0.1,0.0
2340,Chris Duhon,2009,11.1,7.2,0.0
2341,Chris Wilcox,2009,7.2,0.8,0.0
2342,Courtney Sims,2009,3.0,0.0,0.0
2343,Danilo Gallinari,2009,6.1,0.5,0.0
2344,David Lee,2009,16.0,2.1,0.0
2345,Demetris Nichols,2009,1.8,0.3,0.0
2346,Eddy Curry,2009,1.7,0.0,0.0
2347,Jared Jeffries,2009,5.3,1.4,0.0
2348,Jerome James,2009,3.0,0.0,0.0
2325,Baron Davis,2008,21.8,7.6,0.0
2323,Andris Biedriņš,2008,10.5,1.0,0.0
2298,Jelani McCoy,2005,1.5,0.0,0.0
2322,Al Harrington,2008,13.6,1.6,0.0
2299,Josh Childress,2005,10.1,1.9,0.0
2300,Josh Smith,2005,9.7,1.7,0.0
2301,Kevin Willis,2005,3.0,0.3,0.0
2302,Michael Stewart,2005,2.1,0.4,0.0
2303,Obinna Ekezie,2005,5.5,0.3,0.0
2304,Predrag Drobnjak,2005,8.4,0.7,0.0
2305,Royal Ivey,2005,3.5,1.7,0.0
2306,Tom Gugliotta,2005,5.1,1.4,0.0
2307,Tony Delk,2005,11.9,1.9,0.0
2308,Tyronn Lue,2005,11.2,4.6,0.0
2309,Al Harrington,2006,18.6,3.1,0.0
2310,Anthony Grundy,2006,4.3,0.8,0.0
2311,Donta Smith,2006,1.7,0.4,0.0
2312,Esteban Batista,2006,1.8,0.1,0.0
2313,Joe Johnson,2006,20.2,6.5,0.0
2314,John Edwards,2006,1.8,0.1,0.0
2315,Josh Childress,2006,10.0,1.8,0.0
2316,Josh Smith,2006,11.3,2.4,0.0
2317,Marvin Williams,2006,8.5,0.8,0.0
2318,Royal Ivey,2006,3.6,1.0,0.0
2319,Salim Stoudamire,2006,9.7,1.2,0.0
2320,Tyronn Lue,2006,11.0,3.1,0.0
2321,Zaza Pachulia,2006,11.7,1.7,0.0
2459,Jason Collins,2012,1.3,0.3,0.0
2461,Jerry Stackhouse,2012,3.6,0.5,0.0
2679,Ryan Gomes,2010,10.9,1.6,0.0
2611,Dan Dickau,2006,3.3,2.1,0.0
2600,Gary Payton,2005,11.3,6.1,0.0
2601,Justin Reed,2005,1.8,0.4,0.0
2602,Kendrick Perkins,2005,2.5,0.4,0.0
2603,Marcus Banks,2005,4.6,1.9,0.0
2604,Mark Blount,2005,9.4,1.6,0.0
2605,Paul Pierce,2005,21.6,4.2,0.0
2606,Raef LaFrentz,2005,11.1,1.2,0.0
2607,Ricky Davis,2005,16.0,3.0,0.0
2608,Tony Allen,2005,6.4,0.8,0.0
2609,Al Jefferson,2006,7.9,0.5,0.0
2610,Brian Scalabrine,2006,2.9,0.7,0.0
2612,Delonte West,2006,11.8,4.6,0.0
2463,Josh Smith,2012,18.8,3.9,0.0
2613,Dwayne Jones,2006,1.0,0.1,0.0
2614,Gerald Green,2006,5.2,0.6,0.0
2615,Kendrick Perkins,2006,5.2,1.0,0.0
2616,Michael Olowokandi,2006,5.0,0.5,0.0
2617,Orien Greene,2006,3.2,1.6,0.0
2618,Paul Pierce,2006,26.8,4.7,0.0
2619,Raef LaFrentz,2006,7.8,1.4,0.0
2620,Ryan Gomes,2006,7.6,1.0,0.0
2621,Tony Allen,2006,7.2,1.3,0.0
2622,Wally Szczerbiak,2006,19.0,3.0,0.0
2623,Al Jefferson,2007,16.0,1.3,0.0
2599,Delonte West,2005,4.5,1.4,0.0
2598,Antoine Walker,2005,19.1,3.4,0.0
2597,Al Jefferson,2005,6.7,0.3,0.0
2596,Ty Jerome,2021,10.7,3.6,0.0
2573,Norvel Pelle,2020,2.4,0.3,0.0
2574,Raul Neto,2020,5.1,1.8,0.0
2575,Shake Milton,2020,9.4,2.6,0.0
2576,Tobias Harris,2020,19.6,3.2,0.0
2577,Zhaire Smith,2020,1.1,0.3,0.0
2578,Al Horford,2021,14.2,3.4,0.0
2579,Aleksej Pokusevski,2021,8.2,2.2,0.0
2580,Charlie Brown Jr.,2021,4.4,1.0,0.0
2581,Darius Bazley,2021,13.7,1.8,0.0
2582,Darius Miller,2021,4.1,1.2,0.0
2583,Gabriel Deck,2021,8.4,2.4,0.0
2584,Isaiah Roby,2021,8.7,1.8,0.0
2585,Jaylen Hoard,2021,6.1,1.3,0.0
2586,Josh Hall,2021,4.1,1.3,0.0
2587,Justin Robinson,2021,2.3,1.0,0.0
2588,Kenrich Williams,2021,8.0,2.3,0.0
2589,Luguentz Dort,2021,14.0,1.7,0.0
2590,Mike Muscala,2021,9.7,0.8,0.0
2591,Moses Brown,2021,8.6,0.2,0.0
2592,Shai Gilgeous-Alexander,2021,23.7,5.9,0.0
2593,Svi Mykhailiuk,2021,8.5,1.7,0.0
2594,Théo Maledon,2021,10.1,3.5,0.0
2595,Tony Bradley,2021,7.1,0.9,0.0
2624,Allan Ray,2007,6.2,0.9,0.0
2625,Brian Scalabrine,2007,4.0,1.1,0.0
2626,Delonte West,2007,12.2,4.4,0.0
2653,Al Jefferson,2009,23.1,1.6,0.0
2655,Brian Cardinal,2009,3.0,1.2,0.0
2656,Corey Brewer,2009,6.2,1.7,0.0
2657,Craig Smith,2009,10.1,1.1,0.0
2658,Jason Collins,2009,1.8,0.4,0.0
2659,Kevin Love,2009,11.1,1.0,0.0
2660,Kevin Ollie,2009,4.0,2.3,0.0
2661,Mark Madsen,2009,0.3,0.2,0.0
2662,Mike Miller,2009,9.9,4.5,0.0
2663,Randy Foye,2009,16.3,4.3,0.0
2664,Rodney Carney,2009,7.2,0.4,0.0
2665,Ryan Gomes,2009,13.3,1.6,0.0
2666,Sebastian Telfair,2009,9.8,4.6,0.0
2667,Shelden Williams,2009,4.1,0.3,0.0
2668,Al Jefferson,2010,17.1,1.8,0.0
2669,Alando Tucker,2010,3.4,0.3,0.0
2670,Brian Cardinal,2010,1.7,0.8,0.0
2671,Corey Brewer,2010,13.0,2.4,0.0
2672,Damien Wilkins,2010,5.6,1.7,0.0
2673,Darko Miličić,2010,6.7,1.5,0.0
2674,Jonny Flynn,2010,13.5,4.4,0.0
2675,Kevin Love,2010,14.0,2.3,0.0
2676,Nathan Jawai,2010,3.2,0.6,0.0
2677,Oleksiy Pecherov,2010,4.5,0.3,0.0
2654,Bobby Brown,2009,5.3,1.7,0.0
2652,Sebastian Telfair,2008,9.3,5.9,0.0
2627,Gerald Green,2007,10.4,1.0,0.0
2651,Ryan Gomes,2008,12.6,1.8,0.0
2628,Kendrick Perkins,2007,4.5,1.3,0.0
2629,Kevinn Pinkney,2007,5.2,0.8,0.0
2630,Leon Powe,2007,4.2,0.2,0.0
2631,Michael Olowokandi,2007,1.7,0.2,0.0
2632,Paul Pierce,2007,25.0,4.1,0.0
2633,Rajon Rondo,2007,6.4,3.8,0.0
2634,Ryan Gomes,2007,12.1,1.6,0.0
2635,Sebastian Telfair,2007,6.1,2.8,0.0
2636,Theo Ratliff,2007,2.5,0.0,0.0
2637,Tony Allen,2007,11.5,1.7,0.0
2638,Wally Szczerbiak,2007,15.0,1.7,0.0
2639,Al Jefferson,2008,21.0,1.4,0.0
2640,Antoine Walker,2008,8.0,1.0,0.0
2641,Chris Richard,2008,1.9,0.3,0.0
2642,Corey Brewer,2008,5.8,1.4,0.0
2643,Craig Smith,2008,9.4,0.8,0.0
2644,Greg Buckner,2008,4.0,1.3,0.0
2645,Kirk Snyder,2008,7.3,1.8,0.0
2646,Mark Madsen,2008,0.5,0.2,0.0
2647,Marko Jarić,2008,8.3,4.1,0.0
2648,Michael Doleac,2008,2.4,0.3,0.0
2649,Randy Foye,2008,13.1,4.2,0.0
2650,Rashad McCants,2008,14.9,2.2,0.0
2572,Mike Scott,2020,6.0,0.8,0.0
2571,Matisse Thybulle,2020,4.7,1.2,0.0
2570,Marial Shayok,2020,2.8,0.3,0.0
