,tmax,tmin,rain,tmax_tomorrow,tmax_3,tmax_5,tmax_7,tmax_14,tmax_30,tmax_60,tmax_90
1980-05-09,60.0,52.0,0.21,60.0,63.0,64.2,64.42857142857143,65.42857142857143,65.86666666666666,64.08333333333333,63.15555555555556
1980-05-10,60.0,50.0,0.0,61.0,60.333333333333336,63.0,63.714285714285715,65.07142857142857,65.66666666666667,64.1,63.166666666666664
1980-05-11,61.0,52.0,0.0,60.0,60.333333333333336,62.0,63.142857142857146,64.64285714285714,65.0,64.11666666666666,63.2
1980-05-12,60.0,52.0,0.0,58.0,60.333333333333336,60.4,62.285714285714285,64.42857142857143,64.43333333333334,64.11666666666666,63.2
1980-05-13,58.0,53.0,0.0,64.0,59.666666666666664,59.8,61.142857142857146,63.857142857142854,64.0,64.05,63.166666666666664
1980-05-14,64.0,50.0,0.0,65.0,60.666666666666664,60.6,60.57142857142857,63.214285714285715,64.0,64.13333333333334,63.24444444444445
1980-05-15,65.0,50.0,0.0,66.0,62.333333333333336,61.6,61.142857142857146,63.0,63.833333333333336,64.2,63.28888888888889
1980-05-16,66.0,51.0,0.0,72.0,65.0,62.6,62.0,63.214285714285715,63.7,64.3,63.34444444444444
1980-05-17,72.0,50.0,0.0,66.0,67.66666666666667,65.0,63.714285714285715,63.714285714285715,64.0,64.4,63.46666666666667
1980-05-18,66.0,52.0,0.0,75.0,68.0,66.6,64.42857142857143,63.785714285714285,64.03333333333333,64.45,63.5
1980-05-19,75.0,51.0,0.0,69.0,71.0,68.8,66.57142857142857,64.42857142857143,64.36666666666666,64.7,63.666666666666664
1980-05-20,69.0,54.0,0.0,62.0,70.0,69.6,68.14285714285714,64.64285714285714,64.5,64.81666666666666,63.77777777777778
1980-05-21,62.0,53.0,0.0,63.0,68.66666666666667,68.8,67.85714285714286,64.21428571428571,64.56666666666666,64.63333333333334,63.8
1980-05-22,63.0,52.0,0.0,60.0,64.66666666666667,67.0,67.57142857142857,64.35714285714286,64.73333333333333,64.6,63.81111111111111
1980-05-23,60.0,51.0,0.0,61.0,61.666666666666664,65.8,66.71428571428571,64.35714285714286,64.66666666666667,64.5,63.81111111111111
1980-05-24,61.0,49.0,0.0,66.0,61.333333333333336,63.0,65.14285714285714,64.42857142857143,64.6,64.61666666666666,63.8
1980-05-25,66.0,48.0,0.0,66.0,62.333333333333336,62.4,65.14285714285714,64.78571428571429,64.8,64.73333333333333,63.82222222222222
1980-05-26,66.0,49.0,0.0,63.0,64.33333333333333,63.2,63.857142857142854,65.21428571428571,64.83333333333333,64.81666666666666,63.84444444444444
1980-05-27,63.0,53.0,0.0,64.0,65.0,63.2,63.0,65.57142857142857,64.7,64.76666666666667,63.8
1980-05-28,64.0,53.0,0.0,66.0,64.33333333333333,64.0,63.285714285714285,65.57142857142857,64.73333333333333,64.73333333333333,63.82222222222222
1980-05-29,66.0,53.0,0.0,63.0,64.33333333333333,65.0,63.714285714285715,65.64285714285714,64.73333333333333,64.66666666666667,63.87777777777778
1980-05-30,63.0,53.0,0.0,67.0,64.33333333333333,64.4,64.14285714285714,65.42857142857143,64.4,64.68333333333334,63.922222222222224
1980-05-31,67.0,54.0,0.0,63.0,65.33333333333333,64.6,65.0,65.07142857142857,64.36666666666666,64.78333333333333,64.0
1980-06-01,63.0,53.0,0.0,65.0,64.33333333333333,64.6,64.57142857142857,64.85714285714286,64.36666666666666,64.83333333333333,64.03333333333333
1980-06-02,65.0,52.0,0.0,64.0,65.0,64.8,64.42857142857143,64.14285714285714,64.36666666666666,64.93333333333334,64.07777777777778
1980-06-03,64.0,51.0,0.0,65.0,64.0,64.4,64.57142857142857,63.785714285714285,64.33333333333333,65.01666666666667,64.13333333333334
1980-06-04,65.0,53.0,0.01,63.0,64.66666666666667,64.8,64.71428571428571,64.0,64.3,65.06666666666666,64.22222222222223
1980-06-05,63.0,50.0,0.0,65.0,64.0,64.0,64.28571428571429,64.0,64.2,65.1,64.24444444444444
