,user_id,book_id,rating,title
142,-1,45260,4,"The Naked God  (Night's Dawn, #3)"
143,-1,333867,4,The Stars My Destination
144,-1,767171,4,The Rise and Fall of the Third Reich: A History of Nazi Germany
145,-1,409207,4,"A Game of Thrones  (A Song of Ice and Fire, #1)"
146,-1,18630,4,"The Player of Games  (Culture, #2)"
147,-1,11864578,4,Restless Giant: The United States from Watergate to Bush V. Gore
148,-1,386374,4,"Small Gods  (Discworld, #13)"
149,-1,29581,4,Foundation and Empire  (Foundation #2)
150,-1,2732977,4,"The Girl with the Dragon Tattoo  (Millennium, #1)"
151,-1,149267,4,The Stand
152,-1,77735,4,"The Honor of the Queen  (Honor Harrington, #2)"
153,-1,1768603,4,The White Tiger
154,-1,846092,4,"Reaper Man  (Discworld, #11)"
155,-1,61916,4,"Miles in Love  (Vorkosigan Omnibus, #6)"
156,-1,224379,4,Gulag
157,-1,2820512,4,Adventures of Huckleberry Finn
158,-1,66717,4,Lucifer's Hammer
159,-1,386372,4,"Mort  (Discworld, #4; Death, #1)"
160,-1,6794,4,Cloud Atlas
161,-1,77565,4,"The Fall of Hyperion  (Hyperion Cantos, #2)"
162,-1,112537,4,"Rendezvous with Rama  (Rama, #1)"
163,-1,1894269,4,"The Walking Dead, Vol. 8: Made to Suffer"
164,-1,77736,4,"The Short Victorious War  (Honor Harrington, #3)"
165,-1,1166599,4,"The Gathering Storm  (The Wheel of Time, #12)"
166,-1,306090,4,The Fatal Shore: The Epic of Australia's Founding
167,-1,292327,4,The Bluest Eye
168,-1,1126719,4,House of Suns
169,-1,399415,4,"Monstrous Regiment  (Discworld, #31)"
170,-1,40445,4,"Altered Carbon  (Takeshi Kovacs, #1)"
171,-1,127455,4,"The Lies of Locke Lamora  (Gentleman Bastard, #1)"
172,-1,1839,4,"Guns, Germs, and Steel: The Fates of Human Societies"
173,-1,50027,4,"Homeland  (The Dark Elf, #1; The Legend of Drizzt, #1)"
174,-1,3869,4,A Brief History of Time
175,-1,7613,4,Animal Farm
176,-1,21343,4,"Overcoming the Five Dysfunctions of a Team: A Field Guide for Leaders, Managers, and Facilitators"
177,-1,1260131,4,The Mahabharata: a Modern Rendering
